,sku,model,forecast1,forecast2,forecast3,forecast4,forecast5,rmse,mape
77,Key_Sales_3,gbm,405,726,405,671,405,447.2653202,59.5472
78,Key_Sales_3,AR,435,412,398,382,367,188.3367161,41.1658
79,Key_Sales_3,MA,399,384,369,354,339,369.7253039,76.5484
80,Key_Sales_3,ARMA,494,504,470,489,488,188.3367161,41.1658
81,Key_Sales_3,ARIMA,435,412,398,382,367,339.2751789,72.6166
82,Key_Sales_3,SES,514,514,514,514,514,247.0011596,26.3398
83,Key_Sales_3,HWES,514,514,514,514,514,247.0011596,26.3398
84,Key_Sales_3,naive,414,414,414,414,414,345.217616,75.6018
85,Key_Sales_3,naive_rept,0,0,0,0,0,368.2079785,82.4832
86,Key_Sales_3,naive3,462,606,414,462,606,492.4599853,89.288
87,Key_Sales_3,naive6,498,732,1056,462,606,352.9932388,37.5384
88,Key_Sales_3,naive12,504,972,1080,1032,642,385.9414729,48.1992
89,Key_Sales_3,naive12wa,906,1136,764,780,687,367.2131334,42.4722
90,Key_Sales_3,sma,494,504,470,489,488,369.7253039,76.5484
91,Key_Sales_3,wma,493,493,473,485,483,359.9594176,74.64
92,Key_Sales_3,Croston,0,0,0,0,0,358.8465875,26.8454
93,Key_Sales_4,lr,175,256,240,294,246,82.60463022,29.8916
94,Key_Sales_4,lasso,175,256,240,294,246,82.60375493,29.8916
95,Key_Sales_4,ridge,175,256,240,294,246,113.8024776,55.8716
96,Key_Sales_4,en,178,254,241,286,241,113.5631073,55.2806
97,Key_Sales_4,huber,180,250,245,305,247,50.14984763,17.0136
98,Key_Sales_4,llars,196,258,255,274,239,96.50508653,39.5008
99,Key_Sales_4,pa,159,244,232,273,230,129.8804418,71.4828
100,Key_Sales_4,knn,178,296,296,300,260,115.1800229,45.1266
101,Key_Sales_4,cart,223,352,352,223,223,98.30966173,40.3642
102,Key_Sales_4,extra,156,381,381,156,156,91.08073931,57.9508
103,Key_Sales_4,svmr,283,283,283,283,283,106.2806767,51.8476
104,Key_Sales_4,ada,294,328,359,292,262,98.60662663,40.1702
105,Key_Sales_4,bag,274,325,314,276,255,101.6564899,39.685
106,Key_Sales_4,rf,266,330,303,286,265,108.5169165,47.8228
107,Key_Sales_4,et,257,308,330,279,259,111.3986192,45.8736
108,Key_Sales_4,gbm,197,307,274,241,213,114.5862533,45.3032
109,Key_Sales_4,AR,255,280,306,265,235,87.77528832,72.472
110,Key_Sales_4,MA,176,173,170,166,163,83.46807234,68.0276
111,Key_Sales_4,ARMA,166,167,171,168,168,87.77528832,72.472
112,Key_Sales_4,ARIMA,255,280,306,265,235,83.32465096,71.4954
113,Key_Sales_4,SES,223,223,223,223,223,51.63845366,25.2162
114,Key_Sales_4,HWES,223,223,223,223,223,51.63845366,25.2162
115,Key_Sales_4,naive,328,381,359,260,247,63.7852811,62.652
116,Key_Sales_4,naive_rept,0,0,0,0,0,68.76289152,69.9044
117,Key_Sales_4,naive3,162,156,180,162,156,107.4292223,71.9348
118,Key_Sales_4,naive6,230,248,252,162,156,67.69975795,28.646
119,Key_Sales_4,naive12,328,381,359,260,247,63.7852811,62.652
120,Key_Sales_4,naive12wa,391,380,352,273,282,75.2142883,59.7768
121,Key_Sales_4,sma,166,167,171,168,168,83.46807234,68.0276
122,Key_Sales_4,wma,167,168,171,169,169,82.01669815,67.1956
123,Key_Sales_4,Croston,0,0,0,0,0,76.59650902,17.9168
124,Key_Sales_5,lr,0,64,254,0,0,196.5180734,49.475
125,Key_Sales_5,lasso,0,64,254,0,0,196.5180738,49.475
